# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9629943657     6827112618  8430712071          19780134         18926647             1985045254 
   24077020654    15445783671 20045964006          54584495         51756260             5151575520 
   24285896099    15569767786 20258056757          55226928         52344262             5241751006 
   24395651039    15640744753 20363471330          55498235         52580539             5252881601 
   24440180248    15679917496 20384377203          55656085         52759289             5255253427 
   24233041268    15546315038 20225277866          55170308         52283793             5227571134 
   24519538039    15725001323 20458435849          55821904         52887552             5288126501 
   23341967010    15286187337 19473669704          49683846         47126858             4790928829 
      28259337       20830860    23191756             35626            33887                3786817 
       3844073        2640229     3131323              2515             2393                 294269 
