# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    5608961373     4995773729  5380229523           8001219          7769912             1144212349 
   22042182710    15900402697 18946177421          44348125         42698930             4796906473 
   24999855029    18111162240 21588632576          52208084         50170557             5301589134 
   23512082476    17128442343 20279060734          48901310         47086670             4946608982 
   24574906806    17884170205 21243773582          51356546         49399525             5215441689 
   24209337364    17622934494 20921937112          50633386         48708644             5121563723 
   24150161686    17599348069 20871818093          50409865         48498936             5111347461 
   24214745655    17631087451 20951336665          50770488         48857093             5147235341 
   15627825518    11409191144 13337778687          28436523         27319790             2989667422 
       4400907        3083857     3685480              3207             3049                 379933 
