# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9658315363     6869767422  8410036663          19966917         19090884             1951528256 
   24152878801    15634386373 20110899998          55012180         52079247             5072616107 
   24047685085    15510237688 20000586955          55031911         52074620             5099085535 
   24565035992    15858999567 20459103841          56274699         53260627             5196312818 
   23944797528    15480188656 19942079465          54928313         51995804             5061676229 
   24213766273    15646383690 20153675481          55574893         52614456             5137677471 
   24088867705    15569129985 20069121911          55315143         52352095             5101253724 
   23123295162    15232788767 19233760706          49457609         46865805             4643669220 
       1657010         889713     1159579              1501             1432                 156953 
       3452487        2502270     2913019              2222             2124                 230192 
