# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9638995961     6868581721  8426876925          19919729         19037970             1955823524 
   24134340351    15577824305 20159819123          54993441         52025280             5160194453 
   24138492721    15554649586 20197439636          55253476         52234364             5212447340 
   24166200865    15579565288 20230105894          55425372         52412057             5219600707 
   24208963334    15614638390 20262382796          55508333         52502587             5218085967 
   24422435345    15752770651 20448298906          55960938         52922724             5270525236 
   24322664984    15694338842 20379097578          55837221         52792857             5272153772 
   23246483515    15322316753 19450112063          49797176         47177541             4750294935 
       3256917        2120105     2523721              3030             2907                 309746 
       3243307        2312542     2696000              2236             2129                 198781 
