# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9615338633     6861866926  8430556870          19689893         18820406             1950700071 
   24391333604    15789974962 20458079031          54537913         51629860             5163733068 
   24381767410    15760444728 20437819008          54679636         51753782             5187737566 
   24226707655    15654949788 20333482377          54436664         51508784             5180825784 
   24158219324    15624698054 20257671358          54334156         51443126             5171491395 
   24117942320    15613260940 20257470407          54315841         51404977             5149739477 
   24520574261    15866997620 20583321648          55171431         52202690             5254289389 
   22938092059    15149050815 19227539287          48298334         45756854             4633175382 
       8163297        5627121     6475862              7856             7458                 814567 
       1161021         987895     1122620               192              205                  14789 
