# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9564680591     6780277235  8344846511          19692510         18848347             1961726362 
   24285715785    15674537782 20238014712          55184482         52304287             5127534458 
   24434156518    15715602986 20379083793          55781136         52802950             5227536609 
   24268958838    15637422135 20238247317          55454968         52516091             5182059978 
   24292381207    15659904073 20277579679          55620104         52679740             5190946429 
   24435577944    15746874458 20400192475          55898803         52942879             5210998982 
   24056893011    15514175752 20076924808          55089491         52179987             5147914923 
   23274762123    15308851088 19430410550          49815108         47227750             4722553674 
       2276344        1352115     1699324              2101             1996                 217493 
       3229062        2159780     2559324              2256             2154                 212232 
