# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    5080631557     5114847652  5520555522           8243594          8004255             1183550016 
   22415267493    15808046134 18800388010          43074893         41285318             4934822353 
   24057231614    17731839168 21011266210          49358266         47209769             5393446725 
   23040360541    16976582818 20107416614          47189920         45146415             5145675653 
   24355658223    17965579017 21287490773          50071848         47904974             5450511349 
   24666425864    18205908832 21558267457          50626464         48442587             5506415399 
   24423876390    17981096654 21328592305          50270178         48076072             5451757379 
   24408088147    18014012765 21341067026          50135302         47960768             5462923782 
   12359176060     9066336987 10537254836          21559653         20665859             2368509243 
       4277232        2804848     3388349              3026             2879                 357703 
