# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    5291457929     4765343588  5097685345           7527303          7322953             1061914302 
   22397071887    16121489430 19230864614          45065925         43176013             4875956481 
   23855905948    17444919644 20665975619          49966717         47840768             5054456393 
   24063794812    17581407289 20847688423          50513577         48339383             5106929268 
   24193688605    17656353647 20974131744          50986128         48786088             5150780796 
   24119774227    17604595699 20897577219          50760279         48582684             5130224395 
   24755640472    18068672527 21466667261          52115493         49861293             5261875924 
   23922039795    17504466026 20744171281          50247893         48104364             5095416111 
   12435083658     9030733727 10566237083          22111640         21160636             2315339910 
       4274840        2953269     3545892              3182             3011                 368760 
