# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9481360435     6769158494  8279103755          19335141         18483988             1910492850 
   24118115183    15667455256 20124419008          54086955         51194218             4984527681 
   24536818066    15914401183 20490294743          55045559         52085303             5114913502 
   24357277411    15798514780 20333847074          54708947         51787049             5076921350 
   24004817916    15571849159 20049537151          54000289         51106134             5018983991 
   24303527126    15760117519 20320929367          54705280         51745494             5100201730 
   24194653190    15695392263 20208914759          54457214         51525563             5062176491 
   23326864033    15436717305 19507011745          49173684         46581903             4656947508 
       2234833        1358767     1693105              2158             2062                 213645 
       3615977        2651332     3091278              2519             2409                 240894 
