# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9583477768     6810232771  8411976083          19480229         18557149             1981511143 
   24443177731    15850209160 20438348945          54810359         51756565             5114104401 
   23859120582    15462427179 19961726649          53665843         50658141             5010207091 
   24718751305    16013894579 20690540696          55708965         52573181             5221360352 
   23760753184    15394355280 19863450845          53580298         50596197             5022687444 
   24240793441    15711357451 20295013134          54665665         51605447             5123298052 
   24312408423    15764577834 20369307490          54861878         51778743             5131852828 
   23316144460    15399035224 19525645565          49571547         46862674             4710860956 
     590195485      433233172   499656062            817419           782091               84540513 
       4380133        3071813     3542226              2464             2329                1037790 
