# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    5557527023     4950225264  5324524922           7906083          7683399             1127708565 
   21887430822    15922890639 18951995186          43269856         41409572             4982273456 
   24342533978    17913087237 21242652373          49941797         47717070             5473564902 
   24336059198    17893835480 21254802124          50008817         47763015             5459921785 
   24634953408    18125431854 21524800471          50603499         48339494             5525643771 
   24777368403    18244517935 21641640179          50790434         48553376             5543782754 
   24095455799    17726824145 21037474210          49496660         47292440             5400724158 
   24486154082    18039826727 21402714316          50362916         48125061             5502816874 
   11994112662     8760310479 10206557861          20739056         19844596             2291912923 
       4113555        2622257     3181877              3096             2945                 347757 
