# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    5879390404     5175339402  5601480913           8369361          8125814             1210757597 
   22079899965    15997795100 19021508681          43745176         41994750             4998096725 
   24345958840    17925871556 21219255135          49685562         47604974             5442336331 
   24417677128    17870005426 21253382042          50052623         47887177             5454546723 
   24993149775    18321468401 21758762164          50943883         48768116             5569124852 
   24316360414    17856067498 21177518430          49765455         47661859             5420480964 
   24205389572    17790185920 21104594607          49531691         47427631             5420257090 
   24709893311    18165710232 21555322549          50653445         48495357             5539628170 
   12471768549     9140311976 10640803115          21777722         20866043             2381218194 
       4060746        2687987     3249795              2993             2843                 363727 
