# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    3889988677     3584387447  3800185354           5562099          5423593              672887907 
   24270285516    17736659625 21064951559          47113546         45143019             5618792226 
   24426732424    17915064706 21326277948          50016031         47765349             5533036452 
   24255260922    17805380811 21170319239          49685234         47467868             5484460786 
   24715927586    18114140480 21571212847          50597221         48327571             5593702889 
   24310337140    17848439165 21227179146          49825106         47598875             5494761105 
   24518392034    18032946655 21457332783          50203764         47963974             5540796927 
   24593726390    18034700557 21488370083          50489505         48206962             5584236205 
   11958380007     8703394143 10161176406          20727827         19835384             2289019733 
       3677648        2464266     2957266              2918             2795                 269978 
