# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   15893129308    13807249323      72569945 3025727639  5951104203         34634969          271466769         58322519 
   23869504561    20275697354     114146698 4375086884  9001545052         55088353          413930510         83399737 
   23781982777    20001025245     116941532 4304232530  8908149551         55660087          423300268         83013713 
   24004319612    20400264251     118863961 4398957452  9120038761         57398056          432058750         84621452 
   23966933256    20082393388     118999600 4317803137  8960571258         56688750          431752910         84063382 
   24379431887    20619080707     123369008 4444061832  9240468006         58540165          446592521         86048470 
   23990196203    20305807929     117366737 4369487067  9049278569         57051806          428017121         84520165 
   23846190077    20190829213     117919813 4348016714  9013371867         56846393          427667306         84180424 
    2167357137     1200083863      16566176  216025582   512956712          7497420           56074073         11089624 
