# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
   11848281498    13199303325    392603001           95553263  6941067689              53588372           38132608   470871544              70300099 
   22881812696    24422455437   1468821390          208171695 12671165074             131170952          130401720   963300738             287841950 
   23840677047    25756661121   1567265651          213817675 13405938205             133129983          136344157  1009789611             302104391 
   25072617305    27269563713   1656553564          224183776 14186081982             139679299          140624471  1063656807             320289131 
   24417844358    26769683439   1676722152          225571337 13775703597             142264255          139241804  1047261484             328799987 
   25566100028    28274436594   1683626519          219835884 14778828718             134941263          142963700  1074678964             317206682 
   24041184750    26235056357   1668090766          222557762 13505213459             138981598          139321797  1048604722             324879180 
   24357259237    26557204248   1651752697          219262345 13792247427             135914920          137445603  1047778058             319764424 
   23611350422    25330700351   1682950235          225814661 12949871020             141436874          136553746  1053483774             335383571 
   25481668121    27850305587   1723668795          227571691 14460693799             140308434          143532762  1101098234             329437001 
   23905102011    25787379448   1683773241          226309505 13243273025             142566127          140663139  1048677296             330249431 
   25738177361    28282182920   1705845661          223960292 14769971431             137291591          141971991  1092919912             323676532 
   24863577718    26604176483   1709565471          228639263 13787191657             142866801          144318441  1072897913             330703630 
   25126584336    27525625882   1721383470          227566507 14235364631             141623978          142447338  1083422353             331368011 
   25460829570    27817243817   1715074894          228016398 14435409097             141890012          143689913  1082883917             329907748 
   25643249177    28292723029   1716350712          222753748 14714296884             136865243          143822299  1089648448             324375784 
   24516257723    26230018145   1713967141          228657765 13546027165             142704650          144141243  1076073699             332167167 
   25479640003    27850626854   1707875787          225357040 14490372513             139064493          142792076  1084999924             326791855 
   25265410374    27670582197   1701935604          226835473 14345265899             141561897          141477614  1071256528             329780819 
   24659290974    27052272919   1712579137          227080249 13903453331             141598246          140031917  1078760583             334037424 
   24779617866    27223289296   1698078897          223351346 14073871972             138454156          140274165  1071795550             326339830 
   24949814809    27329531221   1696761833          224806528 14149548062             139986239          141801671  1068889088             327133298 
   24106522045    26049141253   1692329533          227239780 13384390407             143339753          140003641  1051732177             333249344 
   25386684311    27836565080   1739284247          227649204 14389135322             139919956          141596724  1110977303             336046859 
   24917781403    27385290377   1717648395          226617913 14098885243             141554510          139762608  1075149444             335107931 
   24660625043    26695396704   1738489420          232541672 13709897399             145619187          141354561  1088779304             342059940 
   25675305469    27989330062   1744190717          229685013 14518811588             141618219          143822210  1110792759             335638517 
   24381881679    26236870301   1718232242          230336228 13466931406             144652436          140423500  1076195694             340153571 
   25739620462    28324212691   1718111850          225631733 14730971956             139391567          142126234  1089573255             328662813 
   24437158101    26447396250   1714801265          228435927 13581944017             142913766          141655368  1073617490             334954841 
   25670738302    27908330634   1726369640          227663738 14533775230             140572051          144018317  1096155529             329251179 
   23446128485    25217864439   1708681592          230891824 12765561088             146083696          136812948  1060423938             343951969 
   25318311707    27564879678   1743700491          228414599 14258636535             140363764          142942564  1109823013             334582904 
   24944086628    27130509328   1713942725          227895023 14010959991             141848690          141686325  1082103803             332651672 
   24967759073    27261683977   1717431981          229702349 14036922402             144094251          141323173  1078172668             336117430 
   24492622889    26889249395   1713402256          226054594 13802973508             141129191          139592170  1073314126             334891000 
   25281513264    27716093828   1725147271          226855813 14342470196             140574116          143240726  1089181359             331160036 
   24423594634    26108332756   1740678761          231833369 13379464771             144945205          142875410  1088408900             341332927 
   25832048890    28192497864   1716720958          225673661 14698647664             138945752          141271798  1094947479             328119038 
   25639684692    27771000211   1758793326          233563847 14361184280             145645994          145435977  1104357694             339674077 
   24245100897    26015717781   1707564948          228918896 13370245474             143397972          139342084  1068047428             336767719 
   25563284786    28133313049   1725037289          226698272 14581105830             140234097          141619323  1094804158             331688741 
   25547814428    27633718004   1724808510          229331805 14364323356             142437517          143011067  1087066893             333062411 
   10297881501     7573215294    458067623           80965409  4806414206              48892290           50451405   353770835              94136698 
       4285393        2951774       130289              26378     1663609                  8596              27553      162658                 15734 
