# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
    9167755036     6429268475    108480761           61232374  4552520166              24293009           20942731   466288563              17895342 
   24622004107    15558178989    264519231          156185223 11757188181              62285510           54230318  1295964257              38407555 
   23819282817    15020265865    255625268          152263743 11345619271              60664248           52168335  1261137538              37019234 
   24298442382    15339577634    259831954          154536222 11588799083              61580221           52588650  1282748300              37509448 
   24259659608    15315983932    257995419          154530470 11575243572              61464702           52446091  1285428924              37121323 
   24216407222    15276537107    257488390          154607838 11540550702              61531249           52299112  1283457498              37132841 
   24105703486    15212854612    255052388          153885825 11496996640              61079141           51867623  1279693902              36618125 
   22413675103    14861736275    227922351          131170307 11047963720              52065847           46958187  1076720686              32969277 
       5918456        3906244       175392              34205     2198456                 11954              39704      228477                 21241 
