# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    6597947418     5592538819  6257114338           9075640          8814140             1694616116 
   23388429489    16850105117 20312359993          50118091         48948921             6726864185 
   24047259277    17489129793 21006772769          51756108         50448998             6855566981 
   23796152396    17269488587 20779110049          51379360         50074014             6760552988 
   24120527652    17514657128 21065451453          52115596         50797353             6864524944 
   23879581170    17372053865 20881723769          51485358         50176639             6792637898 
   24141540214    17567568396 21107700789          52085530         50767752             6874798799 
   24397802943    17771039207 21353272798          52840004         51503313             6937937221 
    6666489929     4763803012  5563381850          10550677         10218950             1455710587 
       3446084        2415226     2884974              2311             2207                 301638 
