# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    6653333060     5699130151  6297795191           9260669          9032235             1652316408 
   23508936176    17013994733 20460704388          50569528         49438759             6742626913 
   24129699510    17580769665 21082466198          51933948         50700795             6752372604 
   24306861057    17709938883 21243640636          52563466         51281604             6884196615 
   23846914395    17407923909 20841370831          51494702         50273170             6722147376 
   24057544316    17551194857 21031142038          51791623         50546130             6743061514 
   24586814429    17949149662 21489422638          53155585         51889809             6944584593 
   23843122465    17395867805 20845273044          51698359         50452843             6737132534 
    5821758038     4205673416  4862763300           9294170          9044625             1249562390 
       3385709        2346267     2791380              2149             2058                 287824 
