# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    5912184922     5132627665  5666654258           8186790          7951805             1461918913 
   23702148904    16830509510 20500720784          51767148         50535285             6686867128 
   24006533868    17194544356 20815954630          53238006         51918574             6630173862 
   23781186064    17013770427 20637577090          52947198         51618659             6568630193 
   23830087784    17088041180 20687098162          53008354         51694544             6580161311 
   24011873498    17252471994 20847819249          53494183         52187383             6629758716 
   23929490343    17180765767 20807832225          53474354         52129260             6616158822 
   24577247469    17659711387 21364195318          54831445         53454267             6783550835 
    6269419174     4531291265  5288329519          10330461         10031935             1403085569 
       3376138        2174760     2639695              2284             2207                 311331 
