# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    6666247748     5645363616  6320915186           9186558          8916769             1719552080 
   23324452117    16604959515 20129173264          51512800         50323126             6499505792 
   23637984487    16901057613 20443544175          52658017         51340328             6483538989 
   23740255693    17056352606 20561021658          52848690         51555958             6503999804 
   23795638585    17084242900 20590872694          53016813         51714729             6535243686 
   24265232847    17400658824 21007380093          53981847         52654712             6620859598 
   24038889602    17284593848 20821422148          53513962         52208442             6554048813 
   23679617114    17004446504 20519036886          52679102         51367618             6502703228 
    5667469134     4046906325  4738582361           9086925          8805732             1245807949 
       3374492        2170709     2638042              2157             2058                 289730 
