# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   11144320247     7495805085  9452239774          25056633         24400589             2726788860 
   23650459657    14605994065 19143783541          57177798         55410942             5813425858 
   23329859803    14436827407 18914210623          56578364         54810364             5751565901 
   23928269544    14798211895 19413248204          58139485         56327973             5899580438 
   23389166254    14467571402 18960036300          56780461         55029615             5780304061 
   23675018878    14625789118 19211295421          57557129         55751985             5855979488 
   23459808044    14487875043 19010942765          56963171         55190033             5805719014 
   18726952153    11870664605 15227504086          42209037         40910412             4412094584 
       4120613        2647363     3224272              2786             2652                 370802 
