# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    5594598551     4907104932  5375283679           7739964          7525541             1344610354 
   24176272416    17142358451 20818758907          52237607         51091352             6789597472 
   24365172322    17331998105 20975177714          53640665         52364379             6652207627 
   23816318883    17002115458 20522370931          52632503         51401423             6512654710 
   23913334459    17051535375 20637857692          52919692         51673238             6539461427 
   24160502511    17354447817 20864491709          53505920         52282525             6574039443 
   23827775041    17020219240 20519968862          52834214         51594343             6506248579 
   24039389406    17203063232 20753578367          53064980         51830357             6545093366 
    5891886803     4157918585  4897306643           9486782          9183780             1297835653 
       3438295        2372258     2844762              2304             2199                 311244 
