# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    6008579669     5196407733  5749004431           8302572          8071063             1493642648 
   24074200864    17347439915 21036600393          51186883         49989424             7048251210 
   24206439679    17554869672 21264175464          52293355         50920368             6991698172 
   23504744543    17104282125 20644571419          50804609         49499431             6791744070 
   24202992477    17620988183 21292754902          52350507         51002953             6999896425 
   24675253088    17951922442 21668390299          53310450         51965799             7069792754 
   23921186858    17399063363 21021188208          51583488         50260093             6870501671 
   24114251505    17519021493 21183772284          52112786         50777689             6951424784 
    6063482607     4373548258  5122075868           9865034          9559898             1384719298 
       3570654        2589712     3086169              2296             2201                 316840 
