# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   11214124284     7533615273  9441918115          25962483         25305696             2761646464 
   23428972871    14387890558 18805306260          58361951         56602148             5847631941 
   23860829330    14611095606 19169797716          59510524         57693997             5979467843 
   23680409397    14537471882 19003502077          59248214         57449505             5914882636 
   23521654084    14398539224 18886224705          58582988         56821978             5888424992 
   23416195765    14341627292 18799096472          58483009         56697381             5879682808 
   23675127014    14504266313 19028467318          59143975         57366884             5937329225 
   18998621211    11964642356 15348450160          44065153         42721862             4564025092 
       4114066        2575021     3202604              2795             2685                 406661 
