# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    6333783549     5483701056  6030481516           8839343          8624635             1553257363 
   23815412883    16960049057 20459746480          52366561         51263241             6567929152 
   23323904708    16703098251 20115290522          51647036         50454140             6350523955 
   23811543836    17049981177 20494198789          52891937         51703752             6466686953 
   24116159077    17326514888 20802524143          53253974         52052497             6512967255 
   24502596357    17551648403 21112597953          54373789         53122922             6632847085 
   24133582998    17327949706 20802166088          53288852         52104663             6479649930 
   23763286068    17048475799 20482954804          52551370         51365076             6416441155 
    5598003611     4011730341  4649972692           8883109          8631880             1184605679 
       3335324        2425776     2870001              2128             2044                 282123 
