# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   15852155858    14151617721      70846024 3036902544  6045583771         36452986          278575281         60768898 
   23761715321    20786439468     113967532 4416918211  9149581130         56980391          426367071         86117487 
   24160131762    20800767498     120337646 4404212401  9214614717         58857325          447537142         87267867 
   23841849745    20883656643     117645052 4426600081  9254092279         59213269          441273471         87284531 
   23617021385    20398390716     119312714 4320972351  9068601437         58246494          441345012         86309958 
   23965073084    20951378372     117081988 4436425092  9259562858         59315724          442153626         88667006 
   23083692093    20281214046     121330031 4322520537  9082304701         57885016          444811705         85005427 
   23909742689    20769964825     119173079 4399991777  9207813286         59215236          446361198         88317267 
    3652697838     2538080992      22897773  484948176  1090350060         11235863           83450106         16965457 
