# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   16803699344    19729000694      23976561 4541761791  8232202561         10923648           99695156         27231740 
   20764325329    24722966483      23152985 5584234774  9753980323         10868940           82512452         28433164 
   22900061594    26551584682      29054356 5985286547 10874319874         12333519          103042984         31933389 
   22936489887    26046147408      34232003 5832608592 10684303036         13121520          117975490         33409936 
   23448865246    26157928028      38173521 5844094537 10871459577         14318595          132566970         35193051 
   21031549188    25592671200      33079972 5828477762 10736619005         13084828          113855114         30391335 
   22222755178    27101223531      27422726 6152153670 11046030555         12051044           96350992         31082208 
   21330707342    25606250316      30278154 5803306290 10521164314         12100781          103428857         30437849 
   21320279649    25380116694      29265232 5733232671 10459844999         11888520           99922436         30446573 
   21152711004    25305150356      31055736 5730875615 10500170114         12460040          106098576         30546963 
   21703138727    26376840294      27575736 5982320488 10813507967         11939874           95653983         30667335 
   21180329092    24979949313      29922413 5634478298 10296231687         11871250          101232410         30515816 
   21265911128    25972642160      30498256 5905216634 10701715752         12273735          104342471         30194789 
   21600896208    26213953430      29792172 5947481851 10765032002         12369353          102554185         30780038 
   21764382320    26490716970      28467235 6016306853 10844907418         12168300           98440047         30875357 
   20813680254    24923381403      30380178 5642356579 10276809729         11963847          103381644         29948059 
   21201653449    25410428585      29163602 5747252492 10476419546         11938567           99978785         30383937 
   21654334246    26310812527      30319682 5974927968 10731282591         12146394          103342401         30552698 
   21449002640    25890912654      28694341 5866755481 10574929687         11889579           98371704         30495431 
   21233511451    25678347563      30397016 5824965629 10617450607         12354816          104121756         30455546 
   21773822265    26390591260      28158473 5990144916 10857053419         12019140           97397561         30850397 
   21988623379    26299111848      23455883 5939982373 10757822755         11698386           83960764         31234453 
   21334588437    26233361913      31074918 5975147538 10726755911         12265322          105492409         30239724 
   21969168613    26555639618      29371191 6023313160 10893565583         12420860          101523948         31257885 
   21639651456    25954221590      29235832 5873864662 10620380276         11975093          100377904         30828713 
   21543566409    26134380815      29953620 5932263590 10808849144         12618735          103932300         31047072 
   21460251226    25837723550      29795222 5854545688 10583927640         12051529          101716580         30680893 
   21709421474    26116692862      29672700 5916076057 10851587433         12597124          102898107         31231064 
   21861510626    26620823239      28761676 6044458430 10815389049         12053584           98793409         30744678 
   21748477570    26310773553      29915378 5969468605 10767412942         12234414          102527223         30842717 
   21302260331    25897186034      31243770 5885537003 10626576221         12417701          106515956         30556915 
   21025105081    25200909807      30349460 5707867605 10440144181         12186651          103263074         30224082 
   21747586677    26283889433      27830451 5958390865 10662217513         11716015           95853397         30577205 
   21930858465    26664973036      30283242 6063385709 11025189247         12847602          105328898         31452286 
   21120676329    25561093866      29332797 5798524727 10492457875         12157278          100827194         30219373 
   21483282258    25963691110      30611085 5892205129 10684945455         12353144          104430891         30777395 
   21594454931    25975754196      28501482 5884081527 10735221775         12295853           99707731         31045954 
   21327795818    25631415721      30536824 5810889448 10525219834         12105113          103644915         30375657 
   21879295777    26114696801      29681288 5905333097 10730692247         12215521          101982090         31296366 
   17943198915    18787820973      34781366 4118051171  7569199604         15122822          120866038         34288734 
