# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   15820922228    13883019766      71998540 2973371146  5960947129         36678503          283230249         61256297 
   24217621622    20594067549     116922189 4344171392  9085095189         57918423          439121583         88050393 
   24061985544    20510895365     118956444 4327112590  9104459953         59010692          446421492         87726437 
   24371694715    20624971375     121954532 4338194167  9162355417         60140825          458051214         89466273 
   23668849462    20365361339     117396333 4303164755  9061246040         58887493          441564569         87666182 
   24309818262    20572590807     121358871 4337218234  9151234382         59755423          452634634         89042615 
   23002146765    19628940349     121285466 4157322925  8806301694         57156504          445238733         84968687 
   24111164110    20392182623     120055576 4295975534  9066011066         59016860          450216744         88262228 
    3894971323     2653979106      25068763  509228444  1156882908         11892200           90344172         17941084 
