# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   16899715326    19512468984 20501891513           842728          10805751         10788295            13291828678 
   22013711612    25734320759 26881414392           917901          13162627         12982296            18157177805 
   24414638261    29838736746 31046686023           957228          14631294         14412105            22161116621 
   23190006470    28374806013 29553168701           962163          14457672         14239000            20926334155 
   23800147627    29522821467 30707869266           937250          14140206         13924089            21805221117 
   23686106160    29115645965 30273867417           896133          14467594         14264377            21399087141 
   24523579887    30608367479 31795153375           931065          14770024         14560765            22900730832 
   24074847815    29700977338 30854536770           911899          14361066         14165101            21958093795 
   23684681908    29095344820 30253682472           905304          14194318         13988182            21404565757 
   24469393210    30268497712 31463012141           935847          15175739         14955137            22524025403 
   24580549971    30469881524 31675440470           941333          15540830         15318384            22680300118 
   23862928686    29267296028 30440754626           897311          14350900         14140266            21466878377 
   24168011765    29385898547 30580360185           921649          15359986         15138424            21538891658 
   24529593993    30241338666 31449150251           984532          15278018         15056570            22612498574 
   23964564871    29614657786 30761152320           865797          14741253         14536256            21804536176 
   24024982274    29349661266 30495877868           896066          14331378         14143714            21555287748 
   23619863046    28774027566 29910636503           856878          13805546         13615530            20860567865 
   24999869394    31359155144 32550088578           913604          15984704         15752940            23636740076 
   24167084846    30124521581 31268032575           875034          14956542         14751024            22468638600 
   22825841058    27363114196 28464502219           835664          12774760         12600593            19537290957 
   24422973413    30128873341 31342353802           959502          15756682         15515950            22504290691 
   23031221805    27448289249 28577184017           851913          13736471         13552050            19548214034 
   23161279752    27741239305 28838441132           853444          13181297         13015449            20071445693 
   23750725854    28575511018 29652540403           798528          14023042         13851033            20742800100 
   24646240307    30441022000 31641421091           957042          15352630         15132656            22750485067 
   23877997221    29414672485 30599110463           917461          15181562         14955134            21660029227 
   23863545924    29657732882 30789554455           857937          14139021         13944222            21877980288 
   24233153441    30438194673 31601219228           927183          14421372         14211895            22980907055 
   24104318581    29861176579 30993341948           871015          14479866         14292642            22186006977 
   23519906161    28635703311 29819698242           918804          13648111         13444306            20758805967 
   23248948932    27926658540 29032945964           844903          13879885         13711540            20190431958 
   24261122622    30212596205 31351323862           890676          14754831         14560428            22718781314 
   22897546787    27531428687 28623455495           820063          13124418         12957295            19742251671 
   23979426067    29028093187 30186376661           880248          15057965         14857498            21147528425 
   24618712851    30527089161 31675777445           889447          15279666         15082056            22930423404 
   23743748860    29292955168 30413380946           840067          14348061         14164377            21464687540 
   23796878433    29043549541 30208952291           896279          14547703         14339966            21299676655 
    5045407043     3559327779  4084456764           404708           9818237          9677935             1302026120 
