# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
   16136648273    14135231217    929364002          214552743  6741118646             112069064          127781140  1183114964             170986872 
   23821462327    20063585987   1468351676          334999191  9770293208             178791181          203692468  1827610326             269968498 
   24451527831    20444919381   1501670724          347663927  9992260374             184552924          215281386  1905802789             269641640 
   23899360137    20214719110   1467696280          340791920  9853495693             182806585          205578738  1858663287             270401700 
   24186554740    20567580833   1478887197          345134726 10022378982             185334651          204329061  1884573359             276157129 
   24103157867    20335113281   1488208441          344756921  9918061644             184772179          206916549  1890319580             275679942 
   24153298749    20443616155   1481970216          344300762  9963406792             184876729          204394140  1885641030             276123249 
   21136516567    17291111672   1277221438          298449964  8439478367             157811732          179385105  1664831663             236921106 
       2764904        1992412       132302              24629      589610                  7773              29727      156678                 17263 
