# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
   16884422088    19775385508    984533643          174039088  9218897120             106625879           86728826   807299889             196417224 
   21955395119    26498812677   1737205672          229176494 12415376592             148846577          138867290  1061086399             354242966 
   24252054234    29869314130   1857049573          248303531 14109225481             159165417          151997079  1146587627             365530230 
   23285346615    29693055274   1826536285          233357769 13981022355             149845303          146025585  1103318698             358007362 
   23108597918    29636035232   1820308238          229444143 13968554019             147656168          144582316  1092008927             358062889 
   22392169731    27582057505   1831752223          235575553 12913650140             151867391          145871196  1099509592             367124333 
   24163616367    30713441344   1890343816          239424198 14480497736             153201238          151100035  1142625014             369435063 
   23758489812    30643818595   1840258813          232499283 14456093293             148752750          146058335  1109117625             359436193 
   23924761838    29995395663   1882085417          240461725 14086689649             154098543          151665220  1129430104             367958118 
   23555222439    29903464872   1859159004          235934156 14074519389             151387609          149063123  1116799431             364086303 
   23476161399    29710817224   1851158096          237650524 13941990409             153606512          145627254  1102415767             368798847 
   23230941670    29267420314   1860748980          235193160 13764535360             151213342          144741407  1115304362             370025833 
   23190292134    29452880052   1839218445          233360658 13884821616             149658704          144383723  1103186614             362765969 
   23971829975    30745351154   1874102358          237437430 14493966094             152531478          147119482  1124101290             367917668 
   23760560898    30153814470   1871464182          237132956 14200070521             152353171          149151261  1121035323             365667346 
   23415514890    29312126053   1868280468          239719721 13740437720             154384593          148757650  1114238930             369264443 
   23627705190    29948790932   1870743346          236893359 14078966045             152260391          148622130  1118844244             366989196 
   22949657557    29211742282   1834336940          232596148 13724846980             150628115          141694237  1090364654             367308939 
   23000667931    29132562999   1842668459          233919655 13667748204             151633272          142540889  1094669670             369765625 
   23999755077    30694612889   1885736794          236095125 14477101978             151215494          147712618  1128109954             368930359 
   23744428136    30214421369   1869572671          237105079 14213353077             153313487          145388564  1112772039             371485436 
   23458039541    29959620827   1854837641          236265870 14067931974             152410866          147485469  1105421684             366464620 
   23273015307    29131932665   1873678956          240222556 13649888266             155418485          145904407  1112743559             374966888 
   23708515984    29494080958   1889952919          239669700 13885546419             152440216          151519014  1139462506             369653217 
   23932959139    30441866586   1902007890          238103222 14350796022             152790919          146071774  1137107451             377557815 
   24010971050    30158451474   1910232535          244631955 14143111312             157714153          148931890  1136778071             379836467 
   23671615057    29723660411   1892099750          240046647 13966589970             154516097          147094146  1131133825             376637596 
   23067120205    28459660685   1872813627          241269360 13300591911             156338520          146789530  1105345611             375543936 
   24393149958    31309109109   1899706903          238755686 14776476471             151859230          148991631  1148611901             371353861 
   23735406420    30204172306   1865253022          235958101 14231171373             150788577          148161141  1122709778             365274819 
   22995832043    28965862865   1856106827          237688872 13564990607             154746141          140181627  1093021976             377777689 
   24114149261    30370249150   1913467711          242571990 14270752752             155605406          148966243  1141046837             377943551 
   24571569908    31255322571   1917293399          240558282 14738057486             153699275          151419403  1149747551             375439821 
   22942217493    28527473934   1861735246          240199539 13329841424             156545225          145123257  1098088057             375818343 
   23148570353    29549147176   1815680751          229221417 13924998670             146470031          141406018  1089990309             357426033 
   23073033983    27829825953   1915749446          248018178 12975880343             160655946          144496325  1125374930             393011729 
   25074047620    31752372243   1940986393          245455485 14966238218             155665434          154196232  1175303369             376877889 
   23574955278    29406534168   1889016159          239970574 13785082842             153902979          149463124  1123936466             373747682 
    7178782632     6371750866    583388676           88932171  2862301070              54818921           55965991   393876259             119298172 
       2221786        1388309       110109              19971      487795                  5836              24430      120385                 14657 
