# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   16169672220    14891106685      53598281 3353519654  6307088557         30644855          231769187         52391888 
   23856819495    21353910155      87599741 4767069595  9304186675         47710676          358067386         74564686 
   23891412969    21073085473      87981533 4685594717  9191123822         48105182          364518001         74228852 
   24152482284    21548813561      87776892 4794577515  9411295251         49178886          365352277         75266782 
   24110097233    21539141783      86331780 4795193933  9383833449         48974136          362269697         75243106 
   23347131530    20581061391      89618619 4565581244  9028928916         47625155          364667075         73589359 
   23755363113    21115068624      90147481 4697047723  9264451392         48780245          370728255         75263644 
   13676953693    11497447950      54857635 2539783069  5007370441         29520964          221768405         45655567 
       2035662        1509182         10877     418707      606941             1751              30044             7428 
