# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   16378988598    19058562418 19942187261            19676                 0            51282                  15686 
   23002343142    28089374280 29206756183            16949                 0            54110                   5440 
   22903108136    29540386898 30573670240            16116                 0            51593                   4857 
   22887978996    29116451337 30153801618            14840                 0            48174                   4868 
   22535846996    28835938235 29851261175            14906                 0            49045                   4824 
   21006286982    26348237427 27233194721            12176                 0            37137                   4105 
   20916114958    26346426049 27194782853            11536                 0            35230                   4209 
   21661445087    27214271734 28123575333            13934                 0            43025                   5905 
   22361477401    27325100052 28431509545            19017                 0            62818                   7600 
   22073027048    27012117264 28248147444            21487                 0            75598                   9295 
   22862677610    28464150498 29785146485            23453                 1            85668                  10905 
   22386844052    27415934794 28755704238            23402                 0            87449                  11059 
   22345112408    26870725961 28202653658            23412                 0            85346                  10509 
   23587570903    29084391681 30338793517            22249                 0            76945                   7992 
   23571368852    29952458418 31033653561            17610                 0            54534                   5796 
   23213157853    29418741791 30460151367            16540                 0            49763                   5383 
   22090381764    27835644636 28774768174            13704                 0            41628                   4881 
   23619114103    30244994454 31274876998            15596                 0            49068                   5464 
   22488267101    28655177347 29600491386            13953                 0            42715                   4361 
   23015651437    29405363511 30426907724            15225                 0            48686                   4608 
   22584457564    28389925630 29358791785            14433                 0            44608                   4850 
   23033904325    29416782173 30402863170            14618                 0            45129                   5714 
   22818221589    28709111222 29757986037            16436                 1            51516                   5141 
   22731064138    28681380363 29677598367            14774                 0            46351                   5201 
   22487348818    28270734104 29258275004            14305                 0            44094                   5413 
   23140801578    29858334087 30908603095            16175                 0            52268                   5328 
   22302334625    28427009645 29373504773            14167                 0            42255                   4705 
   22488361853    28536023354 29505483788            14603                 0            45026                   4792 
   22831583062    29568127947 30563757822            15430                 0            48126                   5115 
   22451899837    28281661682 29288681378            15272                 0            47477                   5572 
   22860992684    29125575584 30114543212            14798                 0            46291                   4787 
   22643607559    28399942374 29410602588            15368                 0            47587                   6398 
   22018094252    27579260392 28537186546            14248                 0            43843                   4083 
   23010404080    29630019750 30613546540            15109                 0            46869                   5979 
   22464978882    28368633415 29358962979            14544                 0            45242                   5504 
   23077751362    29189826224 30226241378            15527                 0            49084                   5856 
   23013514390    29585911924 30637029027            15474                 0            50901                   4950 
   22995845393    29185764216 30199485217            15308                 0            48275                   5808 
   20727082159    23725763342 24832485056            15217                 0            49913                   5676 
     521922985      343548258   404618449              597                 0             2160                    260 
