# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9744962475     6916139620  8517615170          20035344         19188638             1991956676 
   24260382729    15620948378 20253434659          55051896         52213897             5166389499 
   24142498019    15527939087 20135507376          55029987         52197198             5162451964 
   24473458132    15739813548 20421655391          55789136         52905288             5236047159 
   24070618530    15484077038 20087894796          54910707         52075969             5156025748 
   24513298613    15786501472 20460923251          55953489         53084624             5242697316 
   24014470839    15472634711 20047101556          54884757         52077220             5133766818 
   23826090003    15657760682 19886590685          50716784         48145585             4820302068 
       2112754        1133827     1497375              1907             1815                 219608 
       3517414        2499810     2937124              2277             2171                 255876 
