# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    4975029304     4543941314  4827290938           7066976          6885746              981533682 
   22207785105    16092788434 19218386135          43711119         41905565             5104726713 
   24477854618    17986561494 21430350094          50133983         47927357             5549575481 
   24707866156    18151137281 21633530789          50637265         48408416             5611078673 
   23991050224    17660635537 20997739029          49039810         46910704             5443078659 
   25280103002    18503699061 22114597153          51841188         49520374             5720005549 
   24374363704    17872127934 21318373263          49888806         47686898             5493273305 
   24048876086    17722448764 21082709185          49190531         47031601             5468644157 
   12217709179     8942540307 10430058305          21372205         20449989             2348667334 
       4033296        2691985     3247208              3158             3003                 332531 
