# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9585190047     6856192475  8423582048          19650576         18764691             1955021252 
   24109186157    15725381529 20251073351          54227286         51362745             5032523968 
   24202120402    15752695648 20341326019          54693291         51749591             5113423791 
   24387455507    15913718569 20524665887          55185204         52258313             5128617662 
   23953485790    15647219140 20156245009          54333196         51464098             5035151188 
   24136265618    15767197495 20316255602          54734792         51839443             5085032221 
   24688252203    16159156762 20795165448          56023868         53067219             5177548851 
   23139401113    15422180520 19487520158          49116553         46558941             4656965214 
      52398407       39354935    43489111             67888            64797                7087496 
       3818884        2725012     3213851              2497             2378                 284091 
