# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    5016536136     4610963648  4910008452           7204221          7019461             1007266538 
   22693432846    16464641304 19656723920          44596935         42778337             5197378685 
   24288037906    17882058098 21233987310          49642253         47546619             5479640359 
   24258564166    17842946064 21206021474          49670092         47570258             5456688534 
   24757269412    18147528594 21608917328          50679680         48511186             5555566095 
   24560355828    18055060792 21453785531          50321490         48194646             5523116947 
   24113241850    17697536141 21081431298          49422985         47293464             5413271301 
   24351778195    17925263398 21288579976          49847870         47741441             5487587764 
   12827161695     9406215639 10970234253          22449656         21521522             2484293046 
       3945405        2536630     3095662              2992             2821                 319500 
