# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9459466498     6754763610  8285781059          19485876         18603570             1921702138 
   24412509802    15767054078 20440517524          55488788         52370506             5213183548 
   24128569686    15526371584 20174606331          55213934         52090701             5216195649 
   24319052495    15654409208 20362810935          55743718         52579184             5258281957 
   24156047128    15558941991 20232500005          55410951         52261237             5239733764 
   24312562140    15683151931 20372884769          55862704         52707488             5253974810 
   24583902263    15856099520 20605816194          56428705         53221568             5329228805 
   22584046515    14841164491 18896313105          48524347         45834637             4652670546 
     299871439      218080789   249320495            425542           405215               46159938 
       3620737        2667783     3139569              2274             2176                 261473 
