# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    5602952128     5029803668  5422670129           8069313          7837011             1157231864 
   22063314070    16051142194 19123681964          43690652         41827700             5021329754 
   24574149881    18036835658 21464102140          50437763         48154418             5514253806 
   24090246352    17762451589 21072741277          49409086         47209436             5426055908 
   23977369065    17644037593 21006254212          49307627         47066072             5400913911 
   24492511008    18059512915 21440181931          50330699         48071870             5518603396 
   24537491994    18082997845 21491330248          50472300         48214797             5512879752 
   24642240520    18110422556 21517494433          50680256         48411001             5524921380 
   12675840541     9255248061 10809101447          22117488         21148194             2439027991 
       4354456        2928586     3540159              3156             2982                 383825 
