# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    4797487258     4411449163  4676882662           6820900          6652489              949537779 
   22389147819    16029478739 19175885200          44339957         42576455             4923599712 
   24076766113    17428182873 20754194379          50250795         48202816             5129249959 
   24594684309    17789926141 21197591086          51228639         49147590             5241756856 
   24520451727    17752637725 21146620092          51128603         49044413             5232126669 
   24541165834    17786265185 21150503090          51088806         49019495             5219091127 
   24708080370    17873243768 21299545146          51581617         49463883             5268155407 
   23844282513    17290573020 20567029593          49655845         47651772             5089385030 
   12074870013     8773715519 10235655031          21172174         20320448             2246478295 
       4212969        2782217     3364886              3159             3003                 382325 
