# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9511636522     6780671533  8328311551          19459850         18579335             1938762681 
   24159231935    15688290963 20166349950          54058175         51204013             5013793923 
   24477894217    15859416652 20459765634          54922148         51977703             5114495573 
   24241169599    15718058894 20253125935          54527736         51629837             5069361712 
   24162156331    15649680519 20184906216          54337297         51438365             5073331806 
   24392837625    15821660340 20394903534          54911970         51993018             5113443333 
   24217521214    15704280343 20243392368          54527898         51626774             5092109891 
   23667942715    15607719461 19770703935          50089431         47466768             4743390873 
     534413716      391915665   453229174            729764           699333               82408006 
       3556498        2396659     2835235              2448             2358                 255583 
