# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9859386459     7152901397  8520260400          20355165         19690071             1774778439 
   23953453966    16094654557 19690530962          54463232         52481805             4200792407 
   23434176263    15745673161 19277710479          53367052         51438535             4137203632 
   23856558353    16017745661 19636874577          54461964         52492262             4218005484 
   23940086937    16058372108 19714918720          54658608         52667732             4259038411 
   24197888846    16244155496 19928929454          55229084         53212621             4285062130 
   23861961386    16039925627 19629700769          54565705         52610915             4209484186 
   23006269274    15717581752 18979166156          49135601         47423480             3914746793 
       1860834         956291     1267111              1620             1535                 182716 
       3687596        2610009     3083227              2495             2378                 283048 
