# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9546155751     6804084439  8333095779          19787911         18925711             1940601843 
   24232955048    15611364941 20200408231          55134413         52154337             5155629079 
   24374891217    15686592399 20332474394          55539503         52535169             5196628290 
   24297164668    15649931537 20301922924          55562165         52542557             5204740021 
   24045358250    15493755708 20076139303          55081019         52096540             5159534569 
   24498659043    15757794605 20445195763          55984007         52932038             5253311192 
   24190757228    15587853256 20214845394          55436388         52423794             5190874465 
   23205243606    15273368568 19366145223          49658800         47030222             4720245351 
       1706372         894342     1147050              1496             1433                 152534 
       3480139        2388401     2820161              2270             2165                 263099 
