# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   10348581477     7489674738  8912659217          2298029          18539947         17772220             2177997878 
   24787238819    16134060367 20562726418          9241581          49437457         46529166             5594751013 
   24321616746    15514078412 20211197124         10257274          51069216         47930968             5652984777 
   23981742629    15422892649 20033289984         10076770          50103041         47013091             5758142108 
   24438989963    15883435465 20565424897         10204922          50805510         47662354             6096866825 
   24036889573    15680592574 20275225398         10032594          50048185         46957330             6042466499 
   24016095519    15541036509 20143396513         10064744          50077051         46974103             5912978434 
   24290304191    15673401193 20351724557         10183727          50789175         47665765             5875623049 
   20908476269    14070092570 17716165334          7352420          40747771         38307642             4665393066 
       4983391        3229493     3939871              299              3524             3386                 450900 
