# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9648400269     6736171212  8356731817          3097657          19611686         18798148             2035771330 
   23996293187    15181336099 19813018627         10881731          54056896         51136942             5248040987 
   23977701731    15126830592 19805723020         11039315          54305182         51327966             5292807166 
   24618472396    15541020575 20354804644         11322506          55808722         52761690             5437122016 
   23878358189    15069647502 19733635927         10968428          54029218         51079559             5266667243 
   24213349591    15282532888 19999839368         11110856          54897684         51891047             5349529741 
   24446367516    15439555799 20202902424         11130487          55366777         52376445             5378209210 
   21872635030    14132716926 18050684126          8519190          46080772         43623236             4533110091 
       4965603        3172949     3834272              306              4040             3876                 382567 
