# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9502419701     6633443152  8219920729          2878326          18905735         18147103             2027419009 
   23892489268    15133316150 19661959644          9859952          51945946         49370051             5213865308 
   23852398197    15010302368 19627111894         10188352          51910380         49228329             5272816051 
   24332558600    15366892020 20055567649         10336770          53133469         50412539             5378391079 
   24025708817    15190691644 19856975279         10304262          52510027         49795556             5323985531 
   23822727025    15035892170 19665881301         10224913          52083933         49383899             5283130411 
   24441668366    15439353629 20186974801         10477467          53460777         50695545             5419147743 
   23776893831    15012717548 19601747441         10130393          51900614         49239134             5261811639 
    9684159387     6434748409  7959812816          2761018          18012904         17107949             1857424208 
       4263088        2801792     3379696              265              2986             2856                 392146 
