# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9302873535     6521351975  8076569110          2782452          18402830         17626299             1965739754 
   23786838527    15137329216 19690561791          9820073          51968938         49168144             5232697825 
   24349273372    15436811949 20163847391         10288411          53322570         50373817             5384910549 
   23795786014    15104582138 19699766500          9976076          52304195         49428952             5267742477 
   23857763865    15126395665 19798929165         10232846          52481379         49514200             5324438320 
   23981227016    15221130970 19899644100         10220361          52786883         49834652             5340698359 
   24446254166    15501863103 20292075726         10535831          53730562         50685283             5455693276 
   23941816665    15209378538 19865344650         10117344          52644395         49736261             5311148777 
    9415474534     6647206885  8070319946          2483053          17286371         16386503             1768009648 
       4092228        2746978     3272439              223              2957             2844                 351936 
