# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   16167963629    14786219891 16715554362            52134                 0           158269                  35592 
   23522211732    20966234078 23917942029            83084                 2           272180                  52222 
   23820544600    21160779069 24107659836            84243                 0           273699                  49921 
   22936807102    20518580211 23321328575            82106                 0           269898                  58206 
   23652617513    21012642089 23998142700            85035                 0           282315                  58110 
   22722549253    20132173378 22989835424            81825                 1           279141                  65483 
   23225381807    20398175739 23419541804            86675                 0           294160                  67285 
   16635818248    14108544203 16423708579            62811                 6           218591                  44361 
       1995278        1203917     1594490                1                 0               32                      0 
