# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9156924475     6429124644  7929978504          2632545          18060490         17341776             1916348956 
   24089896164    15345686715 19872951021          9618502          52515415         49787354             5196529153 
   23932899840    15183087724 19759024297          9827616          52493233         49687552             5227207971 
   23968817241    15237130093 19773465228          9638280          52590819         49828765             5196407150 
   23723282870    15062923587 19602470302          9777824          52151733         49342106             5202568315 
   24160564132    15343310867 19948814004          9889352          53066842         50224913             5281946039 
   23815111316    15133288884 19687195756          9807833          52402214         49589589             5218559473 
   24329485842    15468337408 20104036090          9938355          53492459         50645406             5323385136 
    9441910453     6303263226  7751552001          2542616          17491095         16589833             1775160309 
