# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9534202677     6915162707  8250948578          2194587          17493373         16794842             2090521072 
   25018683384    16506303870 20879001352          8908992          50045166         47293469             5783449452 
   23968126354    15544701224 20015746724          9510893          49786258         46908982             5755423614 
   24044098698    15449277828 19992012651          9705090          50355098         47431292             5587959918 
   24148490755    15722378420 20236511502          9580014          50378857         47471383             5832666070 
   24182973683    15596329020 20127865258          9623028          50631852         47722831             5652961075 
   23982483728    15440762869 19980601908          9728074          50350417         47423874             5593468617 
   24032103213    15438693991 19985036091          9735812          50458732         47522713             5574379264 
   20177710919    13231664172 16683586990          6809201          39408736         37159985             4355010455 
       4832555        2995428     3704534              284              3506             3320                 444937 
