# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   16125214920    14227670532 16550475380          2759567          41455542         41176016             9861249905 
   24493584821    20788121773 24555655383          4552493          62363728         61821347            15040965033 
   22864344380    19275167376 23059826525          4741134          55252284         54691420            14207702964 
   23604103354    19334042826 23409762456          5177930          57910922         57237336            14167256307 
   23217115517    19233531739 23172457368          4950420          56846118         56239989            14176148588 
   23760119310    20282654364 24178262556          4877224          58694154         58167021            15171104557 
   21586733030    18788291214 22436425555          4606021          51324499         50868244            14185768139 
   21646694460    19176728998 22857839294          4636462          52015673         51577117            14625970724 
    5617187047     4376680475  5448147034          1216492          16620634         16463066             3328335336 
