# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
   17017421762    17493725416   1027280485          217743785  8081512510             119907974          121695740  1191071970             208294154 
   23584154566    23487180570   1458532348          314935204 10991070193             171814632          188169846  1730580087             283079320 
   23777391522    23728420902   1477056003          318275842 11123790599             174228312          189464730  1750337662             287298207 
   23410136746    23646145787   1456253107          312979257 11076333422             172519775          183779615  1715796326             286273025 
   23170180817    23245954550   1446780670          311703482 10897533740             170848776          183420650  1724449277             283108587 
   23482653269    23696805855   1457052357          314059187 11097705223             172641557          185120365  1716733641             287063888 
   19688072865    19203199619   1211840240          264060118  8987043476             142814579          156620124  1472886342             235814575 
       1787917        1207552        79964              15634      400453                  4701              18100      107909                  9046 
