# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   18081277269    21968639480      19568313 5103006301  9593117570          8730020           80911344         19941748 
   23105672230    28971243320      22824543 6714647266 12883049696          8901343           79610924         21960752 
   23407486484    31056701648      20152631 7258143092 14009119938          9079260           71593350         22604980 
   23410686275    30907412790      20353490 7206730804 13906955971          8780690           70833415         22183409 
   23089579009    30397781029      19094868 7074514926 13651211813          8655758           66899934         22285472 
   22859679890    30208331802      20322079 7049481226 13610378717          8836787           70981174         22401500 
   22407563425    29318997271      19050079 6816254705 13137480479          8497781           66148908         21873650 
   23316543291    31519101198      19476360 7388258125 14294795384          8728809           68421974         22443672 
   23266180625    30806085920      20919013 7201991144 13905348137          9056790           73167193         22995903 
   23065549553    30730402804      19456821 7175285053 13862001627          8618477           67520499         22149881 
   22998097008    30614836811      19959907 7152987530 13820722419          8752138           69474002         22196114 
   22401410436    29529678993      18849108 6859020225 13239129845          8400772           65361395         21629486 
   23603424553    31639895230      20041533 7416795793 14348570930          8970685           70486483         22692661 
   22277882999    29639035256      19020288 6904290648 13341764255          8351951           65667985         21246772 
   23263939694    30804699041      20633982 7186487851 13882595486          8942800           71558538         22658982 
   23471444300    31216483237      18986734 7290433270 14076182369          8752962           66339080         22477028 
   22669028183    30365798510      19299661 7094524156 13720995992          8630913           67264593         21871749 
   23277912234    31055744151      19347182 7261775381 14030827972          8802490           67989959         22495941 
   22452172743    29697832704      18345143 6905115778 13325786282          8398755           63730169         21604091 
   23136652470    30836901365      19597016 7188547485 13894713214          8678687           68527999         22297104 
   23318329227    31173940974      20012451 7296693205 14109750194          8885323           70195049         22512671 
   22853779158    30097119544      19098870 7008946237 13528537337          8623484           66339920         22138301 
   23245212399    31291755765      19569005 7330398759 14181746646          8765260           68398356         22155973 
   23225577973    30939646036      19618767 7224824119 13953106440          8894624           68781668         22538406 
   22465831007    29763739142      18301267 6931863619 13378651882          8402067           64204419         21825455 
   22764554179    30067799797      19251225 7002667241 13516933831          8559375           66976227         22032079 
   23659313536    31607033539      19543065 7389274125 14289433232          8890606           68707378         22697807 
   23485502962    31334135827      19919033 7331099096 14156498493          8822070           69678262         22670045 
   22668334830    29852272627      18864621 6951321328 13414116570          8431125           65380139         21919482 
   23288021543    31185440998      20362088 7291830962 14103342951          8974710           71226844         22636265 
   23081788089    31051435207      19216483 7268260021 14056619831          8610180           66935475         21957542 
   22841683221    30428271956      18619197 7082997558 13687481216          8347727           64545624         21625300 
   22958802039    30247724474      19259581 7047108090 13607036828          8706965           67177523         22253139 
   23240430909    30847806896      19911825 7203751248 13917849091          8991826           69936375         22786458 
   22647039078    29566996551      18223118 6856007228 13216666927          8529240           63404354         22111214 
   23393214749    31101793448      20629160 7268381549 14050127590          8988419           71984898         22764385 
   23516819239    31385698568      19498794 7330757019 14171145144          8869390           68125913         22558428 
   23395443585    31451201764      18741520 7353699361 14228723958          8649456           65738890         22160283 
   23030898928    30155575341      21795422 7023347025 13573086775          9707978           75840068         23594832 
    3640976854     2747757599       8565622  546470606   948582848          3539777           27654190          7252014 
