# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
    9387651832     6562728782    114839526           62804023  4656834095              24586669           22249824   478089263              18831789 
   24079368005    15216672999    269502433          154542219 11491744563              60939990           56324759  1268043183              38065429 
   24391104980    15410312493    273371797          156410048 11643020468              61613846           56442809  1287608008              38450975 
   24144455305    15257303705    269089292          155224699 11521787520              61060400           55594224  1274844587              37714519 
   24047377284    15203810704    265186020          154286430 11481496223              60630694           54828012  1270867582              37113209 
   24066171984    15220035792    266841259          154184222 11498090165              60397718           55113468  1273899528              37060300 
   24246148056    15334647634    269626430          155388901 11579007993              61162502           55594649  1278862311              37905796 
   22210740951    14425318628    238924988          131680804 10862068242              51905678           50438098  1071466306              33347489 
       5108315        3181506       151145              29728     1966238                  9753              34055      197681                 18101 
