# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
    9131875961     6415245153    110256879           61352305  4547611925              24591770           21304604   466571550              17772932 
   24218794812    15296341999    275321027          155400860 11572656880              62323544           57733677  1280978630              38306124 
   24041213568    15169801611    269478777          154520389 11479694460              62001623           55618029  1275989209              38005699 
   24309829765    15339255329    272835184          156867062 11603710653              62832971           56212831  1294075433              38111620 
   23897488890    15084263658    268090030          153514231 11411557020              61275502           55243568  1270271623              37273384 
   24715083058    15604376363    273432284          159372226 11807635967              63750335           56404165  1315813133              38546682 
   23776782958    15020717178    262071780          152642180 11360135999              61157861           54116630  1258827952              37145049 
   24330767442    15374671846    270526258          156216896 11632546022              62524164           55576514  1291150640              38073072 
    6164742263     4239975679     58825614           28803243  3196639127              11531322           12950482   223351342               8148274 
       4003547        2689167       125980              24058     1552138                  8063              25521      149212                 14228 
