# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   11646212595     7712193547  9896352443          25829657         25100439             2955999965 
   23365906609    14337429635 18902182957          56159100         54326927             5814762388 
   23489699699    14388968026 19003681067          56683223         54805131             5880871498 
   23657145562    14495774051 19153441281          57203779         55332735             5926229077 
   23445853344    14368094920 18961110118          56693423         54821160             5860918488 
   23596408435    14459975032 19092140348          57041618         55166239             5918132747 
   23571026233    14462340608 19100928866          57025555         55151884             5905437407 
   18700094845    11768936176 15210145994          42089645         40682680             4481515654 
       4043554        2487427     3071422              2795             2681                 357890 
