# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   11386590225     7615800429  9609911149          26256047         25630924             2825730504 
   23508673599    14441207893 18956462967          58516463         56911073             5909955712 
   23543586157    14440606742 18986524428          58842934         57203182             5945621720 
   23554272875    14445773910 19007373785          58814993         57189708             5962754703 
   23685924604    14534417914 19118727583          59195700         57542586             5981258792 
   23569381150    14450479684 19017616631          58911355         57273033             5963694144 
   23753280129    14576688399 19187021906          59374142         57728667             6004354687 
   18249198076    11516891694 14787971644          42254782         41063635             4398828473 
       4097412        2612948     3196503              2773             2677                 372081 
