# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    6565803208     5648054123  6232446520           9163521          8936324             1629086225 
   23049552671    16368539807 19744931656          50656652         49588223             6322075927 
   23716727269    16942835793 20369288547          52526601         51335938             6419559578 
   23623769957    16922980452 20305690596          52297206         51122166             6399417828 
   23724197015    16957619007 20405158276          52608293         51406855             6428664353 
   24101708393    17265551229 20720791821          53295146         52087050             6482539594 
   23838646789    17061545831 20492548795          52892310         51710452             6441471088 
   24086727577    17242151522 20707091748          53314195         52121261             6512857632 
    5873710344     4197697218  4867099824           9488422          9234866             1239364309 
       3446719        2487672     2927309              2135             2069                 282965 
