# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    5854220055     5089355994  5608287429           8098044          7864096             1436181588 
   24005475445    17235373674 20883670505          50851016         49614209             6968561839 
   24139864740    17500089372 21082359383          52026265         50662374             6875029811 
   24038881119    17455013688 21018506016          52059251         50703381             6846025634 
   23922210566    17413328937 20910697644          51648573         50304228             6806349964 
   24156326279    17578409181 21147869292          52358113         50969560             6888081779 
   24374680171    17710796747 21327269969          52779189         51394510             6939389237 
   23950375828    17463422715 20958533453          51711243         50364402             6827201032 
    6479825223     4621726953  5440407362          10683266         10333593             1465270276 
       3430300        2446176     2904714              2305             2209                 308911 
