# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   11161754662     7351844383  9387864081          25308952         24651188             2864383082 
   23658745859    14376489700 18988317920          58573974         56817200             6007632146 
   23774324471    14455245124 19087550907          58911111         57171774             6034980345 
   23356637515    14183311774 18750320021          57843820         56101798             5949567181 
   23498864061    14277455606 18873776873          58325460         56573002             5989352318 
   23629051815    14370818265 19019363947          58732927         56961761             6034273892 
   23663961049    14385827208 19038599643          58794453         57020126             6045600864 
   18748368559    11716595731 15124033573          43287667         41964563             4552115295 
       4278722        2809175     3449492              2824             2695                 428619 
