# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    6498105086     5526288432  6172680064           8950144          8690887             1662998532 
   23601708337    16697847325 20220771003          51655691         50476891             6519055426 
   23579586989    16804925182 20322833680          52363823         51089428             6431400460 
   23747605334    17010721481 20485510271          52580725         51335956             6489823326 
   23935523259    17082423261 20637535737          53234698         51957182             6527173105 
   24165545447    17308317622 20850294822          53518332         52262253             6559542700 
   23676080055    16939168519 20382732648          52394068         51179456             6423129860 
   24205372574    17275110379 20864447072          53783456         52483929             6589334903 
    6244144229     4444898379  5191084889          10110771          9809247             1377245918 
       3466471        2279165     2757653              2208             2086                 316772 
