# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    6611444959     5675035167  6264244429           9219413          8992240             1639677700 
   23689607712    16801487097 20254728580          52128235         51023641             6485804420 
   24055240806    17172391824 20673957180          53155252         51918987             6535963112 
   23648745943    16898319224 20321801837          52352000         51153068             6408639028 
   23975976140    17143218026 20592069362          53009825         51807127             6507308541 
   24428263798    17456135933 21005140664          54145178         52885582             6612545211 
   23925204932    17117387484 20569251155          52936808         51727211             6464371818 
   23827876361    17046315104 20469485872          52661564         51467468             6429871104 
    5862545130     4229283137  4885405825           9423711          9157872             1250071402 
       3199851        2042749     2484827              2139             2067                 279312 
