# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   11309340464     7619246060  9600863383          25621675         24899702             2780052858 
   23700868420    14666607449 19223473063          57532254         55632780             5843427772 
   23735147504    14672557376 19261310305          57827870         55883434             5888186823 
   23529242768    14571541254 19099842548          57451472         55558106             5838285338 
   23610272279    14605066923 19186245394          57594594         55680904             5873610569 
   23814504696    14736369003 19348939456          58102718         56165471             5916004460 
   23664010918    14656278932 19216634639          57814499         55885630             5871603822 
   18422367110    11716221035 15001112154          41762004         40406880             4353414183 
       4158298        2655792     3225980              2901             2787                 401381 
