# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   11185327367     7432101433  9489379983          24951994         24225561             2845221701 
   23773284975    14598654397 19253325440          57427473         55469694             5937621663 
   23454104898    14401523193 19011088338          56813099         54846838             5874978077 
   23978151452    14719917557 19451781912          58147881         56133740             6010019131 
   23604745585    14453200512 19148526495          57038257         55054566             5954255227 
   23773635328    14571380857 19288759273          57559353         55560152             5991226178 
   23526901865    14438538482 19074114068          57000504         55019551             5917396380 
   18725896692    11796179242 15230378851          42224906         40744284             4495521012 
       4099274        2681941     3257491              2764             2668                 370096 
